"posteam","defteam","play_type","yards_gained","air_yards","yards_after_catch","down","big_play"
NA,NA,NA,NA,NA,NA,NA,NA
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","run",3,NA,NA,1,"No"
"ARI","NO","pass",11,3,8,2,"No"
"ARI","NO","pass",-11,NA,NA,1,"No"
"ARI","NO","run",-2,NA,NA,2,"No"
"ARI","NO","run",1,NA,NA,3,"No"
"ARI","NO","punt",0,NA,NA,4,"No"
"NO","ARI","run",3,NA,NA,1,"No"
"NO","ARI","pass",0,2,NA,2,"No"
"NO","ARI","pass",0,14,NA,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","pass",5,-3,8,1,"No"
"ARI","NO","run",13,NA,NA,2,"No"
"ARI","NO","run",1,NA,NA,1,"No"
"ARI","NO","pass",0,NA,NA,2,"No"
"ARI","NO","no_play",0,NA,NA,3,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","pass",0,NA,NA,1,"No"
"ARI","NO","run",12,NA,NA,2,"No"
"ARI","NO","pass",5,3,2,3,"No"
"ARI","NO","run",3,NA,NA,1,"No"
"ARI","NO","pass",0,4,NA,2,"No"
"ARI","NO","no_play",0,NA,NA,3,"No"
"ARI","NO","pass",0,22,NA,3,"No"
"ARI","NO","field_goal",0,NA,NA,4,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",11,5,6,1,"No"
"NO","ARI","run",2,NA,NA,1,"No"
"NO","ARI","pass",13,13,0,2,"No"
"NO","ARI","no_play",0,NA,NA,1,"No"
"NO","ARI","run",10,NA,NA,1,"No"
"NO","ARI","no_play",0,NA,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,2,"No"
"NO","ARI","run",9,NA,NA,1,"No"
"NO","ARI","run",2,NA,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,1,"No"
"NO","ARI","run",6,NA,NA,1,"No"
"NO","ARI","pass",12,3,9,2,"No"
"NO","ARI",NA,NA,NA,NA,NA,NA
"NO","ARI","pass",7,-5,12,1,"No"
"NO","ARI","run",18,NA,NA,2,"No"
"NO","ARI","extra_point",0,NA,NA,NA,"No"
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","pass",6,-2,8,1,"No"
"ARI","NO","pass",45,39,6,2,"Yes"
"ARI","NO","run",4,NA,NA,1,"No"
"ARI","NO","run",4,NA,NA,2,"No"
"ARI","NO","run",3,NA,NA,3,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","run",0,NA,NA,1,"No"
"ARI","NO","pass",1,1,0,2,"No"
"ARI","NO","extra_point",0,NA,NA,NA,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","run",4,NA,NA,1,"No"
"NO","ARI","pass",5,5,0,2,"No"
"NO","ARI","no_play",0,NA,NA,3,"No"
"NO","ARI","pass",10,6,4,3,"No"
"NO","ARI","run",5,NA,NA,1,"No"
"NO","ARI","pass",4,1,3,2,"No"
"NO","ARI","run",8,NA,NA,3,"No"
"NO","ARI","run",2,NA,NA,1,"No"
"NO","ARI","pass",0,21,NA,2,"No"
"NO","ARI","pass",3,3,0,3,"No"
"NO","ARI","field_goal",0,NA,NA,4,"No"
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","pass",0,4,NA,1,"No"
"ARI","NO","pass",0,5,NA,2,"No"
"ARI","NO","pass",11,5,6,3,"No"
"ARI","NO","run",2,NA,NA,1,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","pass",-3,-5,2,1,"No"
"ARI","NO","pass",11,11,0,2,"No"
"ARI","NO","pass",25,13,12,3,"Yes"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","run",7,NA,NA,1,"No"
"ARI","NO","pass",4,-5,9,1,"No"
"ARI","NO","pass",4,-2,6,2,"No"
"ARI","NO","extra_point",0,NA,NA,NA,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","run",6,NA,NA,1,"No"
NA,NA,NA,NA,NA,NA,NA,NA
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",2,-3,5,1,"No"
"NO","ARI","pass",17,17,0,2,"No"
"NO","ARI","run",1,NA,NA,1,"No"
"NO","ARI","pass",2,2,0,2,"No"
"NO","ARI","pass",-6,NA,NA,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","pass",-1,-6,5,1,"No"
"ARI","NO","run",52,NA,NA,2,"Yes"
"ARI","NO","pass",0,22,NA,1,"No"
"ARI","NO","run",0,NA,NA,2,"No"
"ARI","NO","pass",-2,-2,0,3,"No"
"ARI","NO","field_goal",0,NA,NA,4,"No"
"NO","ARI","kickoff",0,NA,NA,NA,"No"
"NO","ARI","pass",0,8,NA,1,"No"
"NO","ARI","pass",12,9,3,2,"No"
"NO","ARI","run",3,NA,NA,1,"No"
"NO","ARI","pass",0,5,NA,2,"No"
"NO","ARI","pass",11,11,0,3,"No"
"NO","ARI","no_play",0,NA,NA,1,"No"
"NO","ARI","pass",8,-2,10,1,"No"
"NO","ARI","pass",6,0,6,2,"No"
"NO","ARI","run",2,NA,NA,3,"No"
"NO","ARI","pass",8,-2,10,1,"No"
"NO","ARI","run",-2,NA,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,3,"No"
"NO","ARI","pass",0,20,NA,1,"No"
"NO","ARI","run",5,NA,NA,2,"No"
"NO","ARI","pass",0,20,NA,3,"No"
"NO","ARI","field_goal",0,NA,NA,4,"No"
"ARI","NO","run",7,NA,NA,1,"No"
"ARI","NO","pass",5,-2,7,2,"No"
"ARI","NO","pass",2,-3,5,1,"No"
"ARI","NO","run",4,NA,NA,2,"No"
"ARI","NO","pass",-7,NA,NA,3,"No"
"ARI","NO","punt",0,NA,NA,4,"No"
"NO","ARI","run",3,NA,NA,1,"No"
"NO","ARI","no_play",0,NA,NA,2,"No"
"NO","ARI","run",1,NA,NA,1,"No"
"NO","ARI",NA,NA,NA,NA,NA,NA
"NO","ARI","pass",1,1,0,2,"No"
"NO","ARI","no_play",0,NA,NA,3,"No"
"NO","ARI","pass",6,-3,9,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","no_play",0,NA,NA,1,"No"
"ARI","NO","pass",0,23,NA,1,"No"
"ARI","NO","run",2,NA,NA,2,"No"
"ARI","NO","pass",12,5,7,3,"No"
"ARI","NO","run",2,NA,NA,1,"No"
"ARI","NO","pass",10,5,5,2,"No"
"ARI","NO","run",11,NA,NA,1,"No"
"ARI","NO","pass",0,15,NA,1,"No"
"ARI","NO","run",1,NA,NA,2,"No"
"ARI","NO","pass",0,8,NA,3,"No"
"ARI","NO","punt",0,NA,NA,4,"No"
"NO","ARI","pass",0,11,NA,1,"No"
"NO","ARI","pass",0,-6,NA,2,"No"
"NO","ARI","no_play",0,NA,NA,3,"No"
"NO","ARI","pass",0,12,NA,3,"No"
"NO","ARI","punt",0,NA,NA,4,"No"
"ARI","NO","run",3,NA,NA,1,"No"
"ARI","NO","pass",4,2,2,2,"No"
"ARI","NO","pass",5,5,0,3,"No"
"ARI","NO","run",-2,NA,NA,1,"No"
"ARI","NO","run",1,NA,NA,2,"No"
"ARI","NO","run",4,NA,NA,2,"No"
"ARI","NO","run",7,NA,NA,3,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"ARI","NO","field_goal",0,NA,NA,4,"No"
"NO","ARI","pass",6,4,2,1,"No"
"NO","ARI","pass",21,20,1,2,"Yes"
"NO","ARI","pass",5,5,0,1,"No"
"NO","ARI","pass",13,13,0,2,"No"
"NO","ARI","run",12,NA,NA,1,"No"
"NO","ARI","pass",0,3,NA,1,"No"
"NO","ARI","run",-2,NA,NA,2,"No"
"NO","ARI","pass",0,5,NA,3,"No"
"NO","ARI","no_play",0,NA,NA,4,"No"
"NO","ARI","field_goal",0,NA,NA,4,"No"
"ARI","NO","kickoff",0,NA,NA,NA,"No"
"ARI","NO","run",3,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"ARI","NO","pass",3,1,2,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"ARI","NO","pass",-15,NA,NA,3,"No"
"ARI","NO","punt",0,NA,NA,4,"No"
"NO","ARI","pass",0,11,NA,1,"No"
"NO","ARI","run",9,NA,NA,2,"No"
"NO","ARI","pass",6,5,1,3,"No"
"NO","ARI","pass",5,4,1,1,"No"
"NO","ARI","pass",5,2,3,2,"No"
"NO","ARI","qb_spike",0,0,NA,1,"No"
"NO","ARI","pass",0,29,NA,2,"No"
"NO","ARI","pass",9,9,0,3,"No"
"NO","ARI","pass",6,6,0,4,"No"
"NO","ARI","qb_spike",0,0,NA,1,"No"
"NO","ARI","pass",0,16,NA,2,"No"
"NO","ARI","pass",0,18,NA,3,"No"
"NO","ARI","pass",0,18,NA,4,"No"
"NO","ARI",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","pass",8,5,3,1,"No"
"BUF","BAL","run",3,NA,NA,2,"No"
"BUF","BAL","run",3,NA,NA,1,"No"
"BUF","BAL","pass",0,15,NA,2,"No"
"BUF","BAL","no_play",0,NA,NA,3,"No"
"BUF","BAL","run",17,NA,NA,3,"No"
"BUF","BAL","pass",-1,-7,6,1,"No"
"BUF","BAL","pass",15,15,0,2,"No"
"BUF","BAL","extra_point",0,NA,NA,NA,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",6,NA,NA,1,"No"
"BAL","BUF","run",1,NA,NA,2,"No"
"BAL","BUF","pass",3,-1,4,3,"No"
"BAL","BUF","pass",5,4,1,1,"No"
"BAL","BUF","run",2,NA,NA,2,"No"
"BAL","BUF","run",11,NA,NA,3,"No"
"BAL","BUF","pass",13,5,8,1,"No"
"BAL","BUF","run",1,NA,NA,1,"No"
"BAL","BUF","no_play",0,NA,NA,2,"No"
"BAL","BUF","pass",0,22,NA,1,"No"
"BAL","BUF","run",8,NA,NA,2,"No"
"BAL","BUF","no_play",0,NA,NA,3,"No"
"BAL","BUF","pass",-15,NA,NA,3,"No"
"BAL","BUF","field_goal",0,NA,NA,4,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","run",9,NA,NA,1,"No"
"BUF","BAL","run",0,NA,NA,2,"No"
"BUF","BAL","run",-2,NA,NA,3,"No"
"BUF","BAL","punt",0,NA,NA,4,"No"
"BAL","BUF","run",11,NA,NA,1,"No"
"BAL","BUF","pass",20,21,-1,1,"Yes"
"BAL","BUF","run",2,NA,NA,1,"No"
"BAL","BUF",NA,NA,NA,NA,NA,NA
"BAL","BUF","pass",5,1,4,2,"No"
"BAL","BUF","run",17,NA,NA,3,"No"
"BAL","BUF","run",30,NA,NA,1,"Yes"
"BAL","BUF","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","pass",0,-3,NA,1,"No"
"BUF","BAL","pass",4,4,0,2,"No"
"BUF","BAL","pass",0,-3,3,3,"No"
"BUF","BAL","punt",0,NA,NA,4,"No"
"BAL","BUF","pass",5,4,1,1,"No"
"BAL","BUF","run",49,NA,NA,2,"Yes"
"BAL","BUF","run",5,NA,NA,1,"No"
"BAL","BUF","run",10,NA,NA,2,"No"
"BAL","BUF","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","run",7,NA,NA,1,"No"
"BUF","BAL","run",8,NA,NA,2,"No"
"BUF","BAL","pass",0,-8,NA,1,"No"
"BUF","BAL","pass",1,-5,6,2,"No"
"BUF","BAL","pass",17,17,0,3,"No"
"BUF","BAL","pass",12,-2,14,1,"No"
"BUF","BAL","run",7,NA,NA,1,"No"
"BUF","BAL","run",0,NA,NA,2,"No"
"BUF","BAL","pass",6,-2,8,3,"No"
"BUF","BAL","pass",0,12,NA,1,"No"
"BUF","BAL","run",2,NA,NA,2,"No"
"BUF","BAL","pass",3,1,2,3,"No"
"BUF","BAL","field_goal",0,NA,NA,4,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",17,NA,NA,1,"No"
"BAL","BUF","run",5,NA,NA,1,"No"
"BAL","BUF","pass",0,0,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","pass",15,15,0,3,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","run",-15,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","pass",1,-5,6,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","run",0,NA,NA,3,"No"
"BAL","BUF","field_goal",0,NA,NA,4,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","pass",26,26,0,1,"Yes"
"BUF","BAL","qb_spike",0,0,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BUF","BAL","pass",22,22,0,2,"Yes"
"BUF","BAL","field_goal",0,NA,NA,1,"No"
NA,NA,NA,NA,NA,NA,NA,NA
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",3,NA,NA,1,"No"
"BAL","BUF","pass",0,NA,NA,2,"No"
"BAL","BUF","pass",39,19,20,3,"Yes"
"BAL","BUF","pass",23,-1,24,1,"Yes"
"BAL","BUF","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","run",5,NA,NA,1,"No"
"BUF","BAL","run",3,NA,NA,2,"No"
"BUF","BAL","run",5,NA,NA,3,"No"
"BUF","BAL","run",11,NA,NA,1,"No"
"BUF","BAL","pass",0,16,NA,1,"No"
"BUF","BAL","pass",2,2,0,2,"No"
"BUF","BAL","pass",3,3,0,3,"No"
"BUF","BAL","no_play",0,NA,NA,4,"No"
"BUF","BAL","run",2,NA,NA,1,"No"
"BUF","BAL","run",2,NA,NA,2,"No"
"BUF","BAL","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","pass",0,NA,NA,NA,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",5,NA,NA,1,"No"
"BAL","BUF","run",-5,NA,NA,2,"No"
"BAL","BUF","pass",0,37,NA,3,"No"
"BAL","BUF","punt",0,NA,NA,4,"No"
"BUF","BAL","pass",0,-4,4,1,"No"
"BUF","BAL","no_play",0,NA,NA,2,"No"
"BUF","BAL","pass",17,9,8,2,"No"
"BUF","BAL","run",2,NA,NA,3,"No"
"BUF","BAL","run",2,NA,NA,1,"No"
"BUF","BAL","pass",0,22,NA,2,"No"
"BUF","BAL","pass",0,32,NA,3,"No"
"BUF","BAL","punt",0,NA,NA,4,"No"
"BAL","BUF","pass",36,3,33,1,"Yes"
"BAL","BUF","run",3,NA,NA,1,"No"
"BAL","BUF","pass",29,26,3,2,"Yes"
"BAL","BUF","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","run",4,NA,NA,1,"No"
"BUF","BAL","pass",8,8,0,2,"No"
"BUF","BAL",NA,NA,NA,NA,NA,NA
"BUF","BAL","pass",15,15,0,1,"No"
"BUF","BAL","pass",4,4,0,1,"No"
"BUF","BAL","pass",0,27,NA,2,"No"
"BUF","BAL","pass",51,-3,54,3,"Yes"
"BUF","BAL","run",0,NA,NA,1,"No"
"BUF","BAL","run",2,NA,NA,2,"No"
"BUF","BAL","pass",0,NA,NA,NA,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","pass",0,15,NA,1,"No"
"BAL","BUF","pass",0,-1,NA,2,"No"
"BAL","BUF","run",19,NA,NA,3,"No"
"BAL","BUF","run",46,NA,NA,1,"Yes"
"BAL","BUF","extra_point",0,NA,NA,NA,"No"
"BUF","BAL","kickoff",0,NA,NA,NA,"No"
"BUF","BAL","pass",9,8,1,1,"No"
"BUF","BAL","pass",6,4,2,2,"No"
"BUF","BAL","pass",0,10,NA,1,"No"
"BUF","BAL","run",9,NA,NA,2,"No"
"BUF","BAL","no_play",0,NA,NA,3,"No"
"BUF","BAL","pass",-5,NA,NA,3,"No"
"BUF","BAL","punt",0,NA,NA,4,"No"
"BAL","BUF","run",3,NA,NA,1,"No"
"BAL","BUF","run",-1,NA,NA,2,"No"
"BAL","BUF","no_play",0,NA,NA,3,"No"
"BAL","BUF","pass",9,2,7,3,"No"
"BAL","BUF","punt",0,NA,NA,4,"No"
"BUF","BAL","pass",21,21,0,1,"Yes"
"BUF","BAL","run",6,NA,NA,1,"No"
"BUF","BAL","pass",9,11,-2,2,"No"
"BUF","BAL","pass",0,-4,NA,1,"No"
"BUF","BAL","pass",7,5,2,2,"No"
"BUF","BAL","no_play",0,NA,NA,3,"No"
"BUF","BAL","pass",11,6,5,1,"No"
"BUF","BAL","pass",0,18,NA,1,"No"
"BUF","BAL","pass",0,17,NA,2,"No"
"BUF","BAL","pass",8,5,3,3,"No"
"BUF","BAL","pass",10,10,0,4,"No"
"BUF","BAL","extra_point",0,NA,NA,NA,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",13,NA,NA,1,"No"
"BAL","BUF","run",-9,NA,NA,1,"No"
"BUF","BAL","pass",29,26,3,1,"Yes"
"BUF","BAL","run",0,NA,NA,1,"No"
"BUF","BAL","run",0,NA,NA,2,"No"
"BUF","BAL","run",1,NA,NA,3,"No"
"BUF","BAL","pass",0,NA,NA,NA,"No"
"BAL","BUF","kickoff",0,NA,NA,NA,"No"
"BAL","BUF","run",1,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","run",0,NA,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","pass",6,7,-1,3,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BAL","BUF","punt",0,NA,NA,4,"No"
"BUF","BAL","pass",6,4,2,1,"No"
"BUF","BAL","pass",8,8,0,2,"No"
"BUF","BAL","run",5,NA,NA,1,"No"
"BUF","BAL","no_play",0,NA,NA,2,"No"
"BUF","BAL","pass",32,21,11,2,"Yes"
"BUF","BAL","pass",25,12,13,1,"Yes"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BUF","BAL","qb_kneel",-2,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BUF","BAL","qb_kneel",-1,NA,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"BUF","BAL","qb_kneel",-2,NA,NA,3,"No"
"BUF","BAL","field_goal",0,NA,NA,4,"No"
"BUF","BAL",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"JAX","CAR","kickoff",0,NA,NA,NA,"No"
"JAX","CAR","pass",0,24,NA,1,"No"
"JAX","CAR","pass",9,6,3,2,"No"
"JAX","CAR","run",0,NA,NA,3,"No"
"JAX","CAR","run",4,NA,NA,4,"No"
"JAX","CAR","no_play",0,NA,NA,1,"No"
"JAX","CAR","pass",0,-3,NA,1,"No"
"JAX","CAR","pass",10,4,6,2,"No"
"JAX","CAR","pass",24,8,16,3,"Yes"
"JAX","CAR","no_play",0,NA,NA,1,"No"
"JAX","CAR","run",10,NA,NA,1,"No"
"JAX","CAR","pass",16,13,3,2,"No"
"JAX","CAR","pass",0,-7,NA,1,"No"
"JAX","CAR","pass",10,7,3,2,"No"
"JAX","CAR","pass",4,-4,8,3,"No"
"JAX","CAR","field_goal",0,NA,NA,4,"No"
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","run",5,NA,NA,1,"No"
"CAR","JAX","run",3,NA,NA,2,"No"
"CAR","JAX","run",3,NA,NA,3,"No"
"CAR","JAX","run",7,NA,NA,1,"No"
"CAR","JAX","pass",2,0,2,2,"No"
"CAR","JAX","run",2,NA,NA,3,"No"
"CAR","JAX","pass",0,3,NA,1,"No"
"CAR","JAX","pass",3,-6,9,2,"No"
"CAR","JAX","pass",11,11,0,3,"No"
"CAR","JAX","run",5,NA,NA,1,"No"
"CAR","JAX","run",0,NA,NA,2,"No"
"CAR","JAX","pass",0,15,NA,3,"No"
"CAR","JAX","field_goal",0,NA,NA,4,"No"
"JAX","CAR","kickoff",0,NA,NA,NA,"No"
"JAX","CAR","run",4,NA,NA,1,"No"
"JAX","CAR",NA,NA,NA,NA,NA,NA
"JAX","CAR","pass",3,-2,5,2,"No"
"JAX","CAR","pass",-2,-2,0,3,"No"
"JAX","CAR","punt",0,NA,NA,4,"No"
"CAR","JAX","run",9,NA,NA,1,"No"
"CAR","JAX","pass",0,10,NA,2,"No"
"JAX","CAR","run",7,NA,NA,1,"No"
"JAX","CAR","pass",0,7,NA,2,"No"
"JAX","CAR","run",7,NA,NA,3,"No"
"JAX","CAR","run",6,NA,NA,1,"No"
"JAX","CAR","run",1,NA,NA,2,"No"
"JAX","CAR","run",4,NA,NA,3,"No"
"JAX","CAR","pass",4,-2,6,1,"No"
"JAX","CAR","pass",6,6,0,2,"No"
"JAX","CAR","extra_point",0,NA,NA,NA,"No"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","pass",2,-1,3,1,"No"
"CAR","JAX","run",2,NA,NA,2,"No"
"CAR","JAX","pass",12,9,3,3,"No"
"CAR","JAX","pass",0,19,NA,1,"No"
"CAR","JAX","pass",-1,-1,0,2,"No"
"CAR","JAX","run",22,NA,NA,3,"Yes"
"CAR","JAX","run",2,NA,NA,1,"No"
"CAR","JAX","pass",0,15,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"CAR","JAX","pass",0,1,NA,3,"No"
"CAR","JAX","punt",0,NA,NA,4,"No"
"JAX","CAR","run",71,NA,NA,1,"Yes"
"JAX","CAR","run",8,NA,NA,1,"No"
"JAX","CAR","run",3,NA,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","run",9,NA,NA,1,"No"
"JAX","CAR","extra_point",0,NA,NA,NA,"No"
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","no_play",0,NA,NA,1,"No"
"CAR","JAX","run",8,NA,NA,1,"No"
"CAR","JAX","pass",18,16,2,2,"No"
"CAR","JAX","pass",0,21,NA,1,"No"
"CAR","JAX","pass",0,1,NA,2,"No"
"CAR","JAX","run",7,NA,NA,3,"No"
"JAX","CAR","pass",3,-5,8,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","pass",7,-3,10,2,"No"
"JAX","CAR","pass",11,11,0,1,"No"
"JAX","CAR","qb_spike",0,0,NA,1,"No"
"JAX","CAR","no_play",0,NA,NA,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","pass",23,20,3,2,"Yes"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","field_goal",0,NA,NA,1,"No"
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","qb_kneel",-1,NA,NA,1,"No"
NA,NA,NA,NA,NA,NA,NA,NA
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","pass",9,9,0,1,"No"
"CAR","JAX","run",2,NA,NA,2,"No"
"CAR","JAX","run",9,NA,NA,1,"No"
"CAR","JAX","run",0,NA,NA,2,"No"
"CAR","JAX","no_play",0,NA,NA,3,"No"
"CAR","JAX","run",8,NA,NA,1,"No"
"CAR","JAX","run",0,NA,NA,2,"No"
"CAR","JAX","run",1,NA,NA,3,"No"
"CAR","JAX","pass",0,5,NA,4,"No"
"JAX","CAR","run",3,NA,NA,1,"No"
"JAX","CAR","pass",0,18,NA,2,"No"
"JAX","CAR","pass",0,11,NA,3,"No"
"JAX","CAR","punt",0,NA,NA,4,"No"
"CAR","JAX","run",4,NA,NA,1,"No"
"CAR","JAX","run",3,NA,NA,2,"No"
"CAR","JAX","pass",6,6,0,3,"No"
"CAR","JAX","run",9,NA,NA,1,"No"
"CAR","JAX","run",0,NA,NA,2,"No"
"CAR","JAX","pass",-12,NA,NA,3,"No"
"CAR","JAX","punt",0,NA,NA,4,"No"
"JAX","CAR","pass",0,16,NA,1,"No"
"JAX","CAR","pass",0,17,NA,2,"No"
"JAX","CAR","pass",17,16,1,3,"No"
"JAX","CAR","run",2,NA,NA,1,"No"
"JAX","CAR","no_play",0,NA,NA,1,"No"
"JAX","CAR","run",4,NA,NA,1,"No"
"JAX","CAR","pass",0,31,NA,2,"No"
"CAR","JAX","pass",0,-2,NA,1,"No"
"CAR","JAX","no_play",0,NA,NA,2,"No"
"CAR","JAX","pass",9,6,3,2,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"CAR","JAX","pass",1,-6,7,3,"No"
"CAR","JAX","pass",0,32,NA,4,"No"
"JAX","CAR","run",2,NA,NA,1,"No"
"JAX","CAR",NA,NA,NA,NA,NA,NA
"JAX","CAR","pass",12,11,1,2,"No"
"JAX","CAR","run",0,NA,NA,1,"No"
"JAX","CAR","run",10,NA,NA,2,"No"
"JAX","CAR","run",2,NA,NA,1,"No"
"JAX","CAR","pass",6,6,0,2,"No"
"JAX","CAR","run",1,NA,NA,3,"No"
"JAX","CAR","run",3,NA,NA,4,"No"
"JAX","CAR","pass",0,14,NA,1,"No"
"JAX","CAR","run",2,NA,NA,2,"No"
"JAX","CAR","pass",10,9,1,3,"No"
"JAX","CAR","run",1,NA,NA,1,"No"
"JAX","CAR","no_play",0,NA,NA,2,"No"
"JAX","CAR","pass",0,-3,NA,2,"No"
"JAX","CAR","pass",5,-1,6,3,"No"
"JAX","CAR","field_goal",0,NA,NA,4,"No"
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","pass",21,12,9,1,"Yes"
"CAR","JAX","pass",9,9,0,1,"No"
"CAR","JAX","run",3,NA,NA,2,"No"
"CAR","JAX","pass",0,12,NA,1,"No"
"CAR","JAX","pass",0,-11,NA,2,"No"
"CAR","JAX","pass",15,15,0,3,"No"
"CAR","JAX","pass",0,12,NA,1,"No"
"CAR","JAX","pass",0,27,NA,2,"No"
"CAR","JAX","pass",0,12,NA,3,"No"
"CAR","JAX","no_play",0,NA,NA,4,"No"
"CAR","JAX","pass",27,3,24,1,"Yes"
"CAR","JAX","extra_point",0,NA,NA,NA,"No"
"JAX","CAR","kickoff",0,NA,NA,NA,"No"
"JAX","CAR","run",14,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","run",0,NA,NA,1,"No"
NA,NA,"no_play",0,NA,NA,NA,"No"
"JAX","CAR","run",17,NA,NA,2,"No"
"JAX","CAR","run",5,NA,NA,1,"No"
"JAX","CAR","run",1,NA,NA,2,"No"
"JAX","CAR","run",1,NA,NA,3,"No"
"JAX","CAR","field_goal",0,NA,NA,4,"No"
"CAR","JAX","kickoff",0,NA,NA,NA,"No"
"CAR","JAX","pass",2,5,-3,1,"No"
"CAR","JAX","pass",3,2,1,2,"No"
"CAR","JAX","pass",5,5,0,3,"No"
"CAR","JAX","pass",0,3,NA,1,"No"
"JAX","CAR","qb_kneel",-1,NA,NA,1,"No"
"JAX","CAR","qb_kneel",-1,NA,NA,2,"No"
"JAX","CAR",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"CIN","CLE","kickoff",0,NA,NA,NA,"No"
"CIN","CLE","pass",12,1,11,1,"No"
"CIN","CLE","run",-1,NA,NA,1,"No"
